TAHUN;SEMESTER;MATAKULIAH;PERTANYAAN;KETERANGAN;NILAI
2015;1511;IS201 Corporate Business Processes;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,22
2015;1511;IS201 Corporate Business Processes;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,20
2015;1511;IS201 Corporate Business Processes;7;Memberi review materi  perkuliahan sebelumnya;3,02
2015;1511;IS201 Corporate Business Processes;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,20
2015;1511;IS201 Corporate Business Processes;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,14
2015;1511;IS201 Corporate Business Processes;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,14
2015;1511;IS201 Corporate Business Processes;11;Kemampuan memotivasi semangat belajar mahasiswa;2,98
2015;1511;IS201 Corporate Business Processes;12;Kemampuan menerima kritik, saran dan pendapat;3,09
2015;1511;IS201 Corporate Business Processes;13;Fairness dalam memberikan penilaian;3,20
2015;1511;IS201 Corporate Business Processes;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,33
2015;1511;IS230 Algorithms and Programming;1;Kesiapan memberikan perkuliahan/praktikum;3,29
2015;1511;IS230 Algorithms and Programming;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,21
2015;1511;IS230 Algorithms and Programming;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,21
2015;1511;IS230 Algorithms and Programming;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,25
2015;1511;IS230 Algorithms and Programming;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,21
2015;1511;IS230 Algorithms and Programming;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,25
2015;1511;IS230 Algorithms and Programming;7;Memberi review materi  perkuliahan sebelumnya;3,11
2015;1511;IS230 Algorithms and Programming;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,21
2015;1511;IS230 Algorithms and Programming;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,25
2015;1511;IS230 Algorithms and Programming;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,18
2015;1511;IS230 Algorithms and Programming;11;Kemampuan memotivasi semangat belajar mahasiswa;3,11
2015;1511;IS230 Algorithms and Programming;12;Kemampuan menerima kritik, saran dan pendapat;3,14
2015;1511;IS230 Algorithms and Programming;13;Fairness dalam memberikan penilaian;3,21
2015;1511;IS230 Algorithms and Programming;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,25
2015;1511;IS302 Operating Systems Concept;1;Kesiapan memberikan perkuliahan/praktikum;3,22
2015;1511;IS302 Operating Systems Concept;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,16
2015;1511;IS302 Operating Systems Concept;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,17
2015;1511;IS302 Operating Systems Concept;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,17
2015;1511;IS302 Operating Systems Concept;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,17
2015;1511;IS302 Operating Systems Concept;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,11
2015;1511;IS302 Operating Systems Concept;7;Memberi review materi  perkuliahan sebelumnya;3,14
2015;1511;IS302 Operating Systems Concept;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,20
2015;1511;IS302 Operating Systems Concept;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,20
2015;1511;IS302 Operating Systems Concept;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,24
2015;1511;IS302 Operating Systems Concept;11;Kemampuan memotivasi semangat belajar mahasiswa;3,13
2015;1511;IS302 Operating Systems Concept;12;Kemampuan menerima kritik, saran dan pendapat;3,19
2015;1511;IS302 Operating Systems Concept;13;Fairness dalam memberikan penilaian;3,17
2015;1511;IS302 Operating Systems Concept;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,24
2015;1511;IS321 Information Systems Analysis and Design;1;Kesiapan memberikan perkuliahan/praktikum;3,35
2015;1511;IS321 Information Systems Analysis and Design;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,28
2015;1511;IS321 Information Systems Analysis and Design;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,24
2015;1511;IS321 Information Systems Analysis and Design;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,23
2015;1511;IS321 Information Systems Analysis and Design;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,21
2015;1511;IS321 Information Systems Analysis and Design;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,24
2015;1511;IS321 Information Systems Analysis and Design;7;Memberi review materi  perkuliahan sebelumnya;3,23
2015;1511;IS321 Information Systems Analysis and Design;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,27
2015;1511;IS321 Information Systems Analysis and Design;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,25
2015;1511;IS321 Information Systems Analysis and Design;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,27
2015;1511;IS321 Information Systems Analysis and Design;11;Kemampuan memotivasi semangat belajar mahasiswa;3,26
2015;1511;IS321 Information Systems Analysis and Design;12;Kemampuan menerima kritik, saran dan pendapat;3,24
2015;1511;IS321 Information Systems Analysis and Design;13;Fairness dalam memberikan penilaian;3,25
2015;1511;IS321 Information Systems Analysis and Design;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,30
2015;1511;IS341 Database Systems;1;Kesiapan memberikan perkuliahan/praktikum;2,98
2015;1511;IS341 Database Systems;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;2,97
2015;1511;IS341 Database Systems;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;2,99
2015;1511;IS341 Database Systems;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;2,97
2015;1511;IS341 Database Systems;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,01
2015;1511;IS341 Database Systems;6;Pemakaian buku teks sebagai buku utama perkuliahan;2,97
2015;1511;IS341 Database Systems;7;Memberi review materi  perkuliahan sebelumnya;2,97
2015;1511;IS341 Database Systems;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,00
2015;1511;IS341 Database Systems;9;Kejelasan menjawab pertanyaan /diskusi di kelas;2,96
2015;1511;IS341 Database Systems;10;Pemberian tugas/kuis serta pembahasannya di kelas;2,99
2015;1511;IS341 Database Systems;11;Kemampuan memotivasi semangat belajar mahasiswa;2,97
2015;1511;IS341 Database Systems;12;Kemampuan menerima kritik, saran dan pendapat;2,97
2015;1511;IS341 Database Systems;13;Fairness dalam memberikan penilaian;3,07
2015;1511;IS341 Database Systems;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;2,97
2015;1511;IS403 Enterprise Resource Planning;1;Kesiapan memberikan perkuliahan/praktikum;3,36
2015;1511;IS403 Enterprise Resource Planning;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,34
2015;1511;IS403 Enterprise Resource Planning;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,31
2015;1511;IS403 Enterprise Resource Planning;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,40
2015;1511;IS403 Enterprise Resource Planning;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,36
2015;1511;IS403 Enterprise Resource Planning;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,25
2015;1511;IS403 Enterprise Resource Planning;7;Memberi review materi  perkuliahan sebelumnya;3,32
2015;1511;IS403 Enterprise Resource Planning;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,36
2015;1511;IS403 Enterprise Resource Planning;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,35
2015;1511;IS403 Enterprise Resource Planning;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,34
2015;1511;IS403 Enterprise Resource Planning;11;Kemampuan memotivasi semangat belajar mahasiswa;3,34
2015;1511;IS403 Enterprise Resource Planning;12;Kemampuan menerima kritik, saran dan pendapat;3,38
2015;1511;IS403 Enterprise Resource Planning;13;Fairness dalam memberikan penilaian;3,43
2015;1511;IS403 Enterprise Resource Planning;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,26
2015;1511;IS422 Advanced IS Analysis & Design;1;Kesiapan memberikan perkuliahan/praktikum;3,29
2015;1511;IS422 Advanced IS Analysis & Design;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,27
2015;1511;IS422 Advanced IS Analysis & Design;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,32
2015;1511;IS422 Advanced IS Analysis & Design;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,40
2015;1511;IS422 Advanced IS Analysis & Design;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,34
2015;1511;IS422 Advanced IS Analysis & Design;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,40
2015;1511;IS422 Advanced IS Analysis & Design;7;Memberi review materi  perkuliahan sebelumnya;3,38
2015;1511;IS422 Advanced IS Analysis & Design;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,33
2015;1511;IS422 Advanced IS Analysis & Design;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,24
2015;1511;IS422 Advanced IS Analysis & Design;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,27
2015;1511;IS422 Advanced IS Analysis & Design;11;Kemampuan memotivasi semangat belajar mahasiswa;3,30
2015;1511;IS422 Advanced IS Analysis & Design;12;Kemampuan menerima kritik, saran dan pendapat;3,30
2015;1511;IS422 Advanced IS Analysis & Design;13;Fairness dalam memberikan penilaian;3,33
2015;1511;IS422 Advanced IS Analysis & Design;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,24
2015;1511;IS432 Introduction to E-Business;1;Kesiapan memberikan perkuliahan/praktikum;3,53
2015;1511;IS432 Introduction to E-Business;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,57
2015;1511;IS432 Introduction to E-Business;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,53
2015;1511;IS432 Introduction to E-Business;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,50
2015;1511;IS432 Introduction to E-Business;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,53
2015;1511;IS432 Introduction to E-Business;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,50
2015;1511;IS432 Introduction to E-Business;7;Memberi review materi  perkuliahan sebelumnya;3,57
2015;1511;IS432 Introduction to E-Business;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,53
2015;1511;IS432 Introduction to E-Business;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,53
2015;1511;IS432 Introduction to E-Business;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,57
2015;1511;IS432 Introduction to E-Business;11;Kemampuan memotivasi semangat belajar mahasiswa;3,60
2015;1511;IS432 Introduction to E-Business;12;Kemampuan menerima kritik, saran dan pendapat;3,57
2015;1511;IS432 Introduction to E-Business;13;Fairness dalam memberikan penilaian;3,57
2015;1511;IS432 Introduction to E-Business;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,47
2015;1511;IS512 IS Project Management;1;Kesiapan memberikan perkuliahan/praktikum;3,14
2015;1511;IS512 IS Project Management;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,12
2015;1511;IS512 IS Project Management;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,12
2015;1511;IS512 IS Project Management;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,10
2015;1511;IS512 IS Project Management;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,14
2015;1511;IS512 IS Project Management;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,03
2015;1511;IS512 IS Project Management;7;Memberi review materi  perkuliahan sebelumnya;3,12
2015;1511;IS512 IS Project Management;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,13
2015;1511;IS512 IS Project Management;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,11
2015;1511;IS512 IS Project Management;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,18
2015;1511;IS512 IS Project Management;11;Kemampuan memotivasi semangat belajar mahasiswa;3,08
2015;1511;IS512 IS Project Management;12;Kemampuan menerima kritik, saran dan pendapat;3,06
2015;1511;IS512 IS Project Management;13;Fairness dalam memberikan penilaian;3,14
2015;1511;IS512 IS Project Management;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,16
2015;1511;IS543 Decision Support System;1;Kesiapan memberikan perkuliahan/praktikum;3,39
2015;1511;IS543 Decision Support System;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,33
2015;1511;IS543 Decision Support System;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,38
2015;1511;IS543 Decision Support System;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,31
2015;1511;IS543 Decision Support System;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,37
2015;1511;IS543 Decision Support System;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,32
2015;1511;IS543 Decision Support System;7;Memberi review materi  perkuliahan sebelumnya;3,32
2015;1511;IS543 Decision Support System;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,36
2015;1511;IS543 Decision Support System;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,37
2015;1511;IS543 Decision Support System;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,36
2015;1511;IS543 Decision Support System;11;Kemampuan memotivasi semangat belajar mahasiswa;3,34
2015;1511;IS543 Decision Support System;12;Kemampuan menerima kritik, saran dan pendapat;3,36
2015;1511;IS543 Decision Support System;13;Fairness dalam memberikan penilaian;3,37
2015;1511;IS543 Decision Support System;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,37
2015;1511;IS544 Advanced Database;1;Kesiapan memberikan perkuliahan/praktikum;3,29
2015;1511;IS544 Advanced Database;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,28
2015;1511;IS544 Advanced Database;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,33
2015;1511;IS544 Advanced Database;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,28
2015;1511;IS544 Advanced Database;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,34
2015;1511;IS544 Advanced Database;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,34
2015;1511;IS544 Advanced Database;7;Memberi review materi  perkuliahan sebelumnya;3,26
2015;1511;IS544 Advanced Database;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,34
2015;1511;IS544 Advanced Database;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,28
2015;1511;IS544 Advanced Database;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,35
2015;1511;IS544 Advanced Database;11;Kemampuan memotivasi semangat belajar mahasiswa;3,23
2015;1511;IS544 Advanced Database;12;Kemampuan menerima kritik, saran dan pendapat;3,28
2015;1511;IS544 Advanced Database;13;Fairness dalam memberikan penilaian;3,29
2015;1511;IS544 Advanced Database;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,35
2015;1511;IS571 IT Governance 1;1;Kesiapan memberikan perkuliahan/praktikum;3,11
2015;1511;IS571 IT Governance 1;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,00
2015;1511;IS571 IT Governance 1;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,06
2015;1511;IS571 IT Governance 1;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,17
2015;1511;IS571 IT Governance 1;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,00
2015;1511;IS571 IT Governance 1;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,00
2015;1511;IS571 IT Governance 1;7;Memberi review materi  perkuliahan sebelumnya;3,11
2015;1511;IS571 IT Governance 1;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,11
2015;1511;IS571 IT Governance 1;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,00
2015;1511;IS571 IT Governance 1;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,06
2015;1511;IS571 IT Governance 1;11;Kemampuan memotivasi semangat belajar mahasiswa;3,11
2015;1511;IS571 IT Governance 1;12;Kemampuan menerima kritik, saran dan pendapat;3,11
2015;1511;IS571 IT Governance 1;13;Fairness dalam memberikan penilaian;3,22
2015;1511;IS571 IT Governance 1;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,11
2015;1511;IS580 Enterprise Application and Systems 1;1;Kesiapan memberikan perkuliahan/praktikum;3,39
2015;1511;IS580 Enterprise Application and Systems 1;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,38
2015;1511;IS580 Enterprise Application and Systems 1;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,39
2015;1511;IS580 Enterprise Application and Systems 1;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,41
2015;1511;IS580 Enterprise Application and Systems 1;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,43
2015;1511;IS580 Enterprise Application and Systems 1;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,41
2015;1511;IS580 Enterprise Application and Systems 1;7;Memberi review materi  perkuliahan sebelumnya;3,41
2015;1511;IS580 Enterprise Application and Systems 1;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,43
2015;1511;IS580 Enterprise Application and Systems 1;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,41
2015;1511;IS580 Enterprise Application and Systems 1;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,40
2015;1511;IS580 Enterprise Application and Systems 1;11;Kemampuan memotivasi semangat belajar mahasiswa;3,39
2015;1511;IS580 Enterprise Application and Systems 1;12;Kemampuan menerima kritik, saran dan pendapat;3,42
2015;1511;IS580 Enterprise Application and Systems 1;13;Fairness dalam memberikan penilaian;3,44
2015;1511;IS580 Enterprise Application and Systems 1;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,44
2015;1511;IS670 Information System Auditing;1;Kesiapan memberikan perkuliahan/praktikum;3,32
2015;1511;IS670 Information System Auditing;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,23
2015;1511;IS670 Information System Auditing;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,32
2015;1511;IS670 Information System Auditing;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,27
2015;1511;IS670 Information System Auditing;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,34
2015;1511;IS670 Information System Auditing;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,29
2015;1511;IS670 Information System Auditing;7;Memberi review materi  perkuliahan sebelumnya;3,27
2015;1511;IS670 Information System Auditing;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,38
2015;1511;IS670 Information System Auditing;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,25
2015;1511;IS670 Information System Auditing;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,29
2015;1511;IS670 Information System Auditing;11;Kemampuan memotivasi semangat belajar mahasiswa;3,16
2015;1511;IS670 Information System Auditing;12;Kemampuan menerima kritik, saran dan pendapat;3,34
2015;1511;IS670 Information System Auditing;13;Fairness dalam memberikan penilaian;3,30
2015;1511;IS670 Information System Auditing;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,39
2015;1511;IS725 Information Systems Testing and Implementation;1;Kesiapan memberikan perkuliahan/praktikum;3,61
2015;1511;IS725 Information Systems Testing and Implementation;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,60
2015;1511;IS725 Information Systems Testing and Implementation;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,61
2015;1511;IS725 Information Systems Testing and Implementation;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,54
2015;1511;IS725 Information Systems Testing and Implementation;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,58
2015;1511;IS725 Information Systems Testing and Implementation;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,63
2015;1511;IS725 Information Systems Testing and Implementation;7;Memberi review materi  perkuliahan sebelumnya;3,56
2015;1511;IS725 Information Systems Testing and Implementation;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,61
2015;1511;IS725 Information Systems Testing and Implementation;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,56
2015;1511;IS725 Information Systems Testing and Implementation;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,49
2015;1511;IS725 Information Systems Testing and Implementation;11;Kemampuan memotivasi semangat belajar mahasiswa;3,61
2015;1511;IS725 Information Systems Testing and Implementation;12;Kemampuan menerima kritik, saran dan pendapat;3,58
2015;1511;IS725 Information Systems Testing and Implementation;13;Fairness dalam memberikan penilaian;3,56
2015;1511;IS725 Information Systems Testing and Implementation;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,60
2015;1511;IS727 IS Advanced Topic 2;1;Kesiapan memberikan perkuliahan/praktikum;3,21
2015;1511;IS727 IS Advanced Topic 2;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,29
2015;1511;IS727 IS Advanced Topic 2;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,29
2015;1511;IS727 IS Advanced Topic 2;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,21
2015;1511;IS727 IS Advanced Topic 2;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,29
2015;1511;IS727 IS Advanced Topic 2;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,29
2015;1511;IS727 IS Advanced Topic 2;7;Memberi review materi  perkuliahan sebelumnya;3,21
2015;1511;IS727 IS Advanced Topic 2;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,29
2015;1511;IS727 IS Advanced Topic 2;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,29
2015;1511;IS727 IS Advanced Topic 2;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,29
2015;1511;IS727 IS Advanced Topic 2;11;Kemampuan memotivasi semangat belajar mahasiswa;3,21
2015;1511;IS727 IS Advanced Topic 2;12;Kemampuan menerima kritik, saran dan pendapat;3,36
2015;1511;IS727 IS Advanced Topic 2;13;Fairness dalam memberikan penilaian;3,29
2015;1511;IS727 IS Advanced Topic 2;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,21
2015;1511;IS747 Database Administration 2;1;Kesiapan memberikan perkuliahan/praktikum;3,71
2015;1511;IS747 Database Administration 2;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,62
2015;1511;IS747 Database Administration 2;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,63
2015;1511;IS747 Database Administration 2;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,64
2015;1511;IS747 Database Administration 2;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,61
2015;1511;IS747 Database Administration 2;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,57
2015;1511;IS747 Database Administration 2;7;Memberi review materi  perkuliahan sebelumnya;3,67
2015;1511;IS747 Database Administration 2;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,62
